word,meaning,source_sentence,target_sentence,input_text,target_text
Căm,Nan hoa của bánh xe,phải đi bắt căm lại mới được,phải đi cân lại nan hoa mới được,Căm [SEP] Nan hoa của bánh xe [SEP] phải đi bắt căm lại mới được,phải đi cân lại nan hoa mới được
Đồn đột (2),"Đường đột, vội vàng, thiếu nhã nhặn",sao đồn đột bước vào như bước vào nhà mình vậy được,sao lại đường đột bước vào như vào nhà mình thế được,"Đồn đột (2) [SEP] Đường đột, vội vàng, thiếu nhã nhặn [SEP] sao đồn đột bước vào như bước vào nhà mình vậy được",sao lại đường đột bước vào như vào nhà mình thế được
Cà thọc cà thọc,Thọc tới thọc lui liên tục nhiều lần,bọn trẻ tối ngày cứ cà thọc cà thọc riết hết chẳng ăn được gì,lũ trẻ suốt ngày cứ dùng sào chọc phá nên chẳng thu hoạch được gì,Cà thọc cà thọc [SEP] Thọc tới thọc lui liên tục nhiều lần [SEP] bọn trẻ tối ngày cứ cà thọc cà thọc riết hết chẳng ăn được gì,lũ trẻ suốt ngày cứ dùng sào chọc phá nên chẳng thu hoạch được gì
Vít lửa,Bugi (đánh lửa),Xe hổng nổ chắc tại hư vít lửa.,Xe không nổ chắc tại hỏng bugi.,Vít lửa [SEP] Bugi (đánh lửa) [SEP] Xe hổng nổ chắc tại hư vít lửa.,Xe không nổ chắc tại hỏng bugi.
Sọt soẹt,Lục lọi hoài,Ngồi sọt soẹt tìm cái gì nãy giờ vậy?,Ngồi lục lọi tìm cái gì nãy giờ thế?,Sọt soẹt [SEP] Lục lọi hoài [SEP] Ngồi sọt soẹt tìm cái gì nãy giờ vậy?,Ngồi lục lọi tìm cái gì nãy giờ thế?
Lèo ngoèo,"Ngoằn ngoèo, ngoằn ngoèo",Đường đi vô nhà lèo ngoèo,Đường đi vào nhà nó ngoằn ngoèo,"Lèo ngoèo [SEP] Ngoằn ngoèo, ngoằn ngoèo [SEP] Đường đi vô nhà lèo ngoèo",Đường đi vào nhà nó ngoằn ngoèo
Xa bô Sa bô chê,Quả hồng xiêm,"Cái kiểu xa bô đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu quả hồng xiêm đó quen lắm rồi, ai ở đây cũng biết.","Xa bô Sa bô chê [SEP] Quả hồng xiêm [SEP] Cái kiểu xa bô đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu quả hồng xiêm đó quen lắm rồi, ai ở đây cũng biết."
Bắp bồ cào,Bắp thưa hạt (như răng bồ cào),"Ba cái bắp bồ cào mà bán chác cái gì, nấu cho mấy đứa nhỏ ăn đi","Mấy cái bắp ngô thưa hạt này bán chác gì, nấu cho bọn trẻ ăn đi","Bắp bồ cào [SEP] Bắp thưa hạt (như răng bồ cào) [SEP] Ba cái bắp bồ cào mà bán chác cái gì, nấu cho mấy đứa nhỏ ăn đi","Mấy cái bắp ngô thưa hạt này bán chác gì, nấu cho bọn trẻ ăn đi"
Xăng cà dung,Gấp rút khẩn cấp,Phải làm xăng cà dung mới kịp giao.,Phải làm cực kỳ vội vàng mới kịp giao.,Xăng cà dung [SEP] Gấp rút khẩn cấp [SEP] Phải làm xăng cà dung mới kịp giao.,Phải làm cực kỳ vội vàng mới kịp giao.
Oai nghi,"Uy nghi, bề thế, tôn nghiêm.",Ngôi nhà thờ cù lao Giêng này trông cổ kính và oai nghi thiệt.,Ngôi nhà thờ cù lao Giêng này trông cổ kính và uy nghi thật.,"Oai nghi [SEP] Uy nghi, bề thế, tôn nghiêm. [SEP] Ngôi nhà thờ cù lao Giêng này trông cổ kính và oai nghi thiệt.",Ngôi nhà thờ cù lao Giêng này trông cổ kính và uy nghi thật.
Sàn nước,"Khu vực rửa bát, giặt giũ sát mé sông mương",Làm sàn nước trên sông thì có tiện cho sinh hoạt.,Làm khu vực rửa đồ trên sông thì tiện cho sinh hoạt.,"Sàn nước [SEP] Khu vực rửa bát, giặt giũ sát mé sông mương [SEP] Làm sàn nước trên sông thì có tiện cho sinh hoạt.",Làm khu vực rửa đồ trên sông thì tiện cho sinh hoạt.
Nhảy cò bẹp,Trò nhảy lò cò.,Đòi chơi cò bẹp,Đòi chơi nhảy lò cò,Nhảy cò bẹp [SEP] Trò nhảy lò cò. [SEP] Đòi chơi cò bẹp,Đòi chơi nhảy lò cò
Đi xóm,Đi vắng đi chơi loanh quanh hoặc đi việc riêng,Nó đi xóm chớ đi công tác cái quái gì,Nó đi chơi quanh xóm chứ công tác gì đâu,Đi xóm [SEP] Đi vắng đi chơi loanh quanh hoặc đi việc riêng [SEP] Nó đi xóm chớ đi công tác cái quái gì,Nó đi chơi quanh xóm chứ công tác gì đâu
Xa ngái,"Xa xôi, trắc trở","Cái kiểu xa ngái đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu xa xôi đó quen lắm rồi, ai ở đây cũng biết.","Xa ngái [SEP] Xa xôi, trắc trở [SEP] Cái kiểu xa ngái đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu xa xôi đó quen lắm rồi, ai ở đây cũng biết."
Tá hỏa tam tinh,"Hoảng hốt, xây xẩm mặt mày",Nó tán thằng nhỏ một cái tá hỏa tam tinh.,Nó tát cậu bé một cái xây xẩm mặt mày.,"Tá hỏa tam tinh [SEP] Hoảng hốt, xây xẩm mặt mày [SEP] Nó tán thằng nhỏ một cái tá hỏa tam tinh.",Nó tát cậu bé một cái xây xẩm mặt mày.
Bồ nhìn,Bù nhìn,"Lúa chín tới rồi, phải làm mấy cái thằng bồ nhìn cắm dưới ruộng","Lúa chín tới rồi, phải làm mấy cái bù nhìn cắm dưới ruộng","Bồ nhìn [SEP] Bù nhìn [SEP] Lúa chín tới rồi, phải làm mấy cái thằng bồ nhìn cắm dưới ruộng","Lúa chín tới rồi, phải làm mấy cái bù nhìn cắm dưới ruộng"
Dặc dặc (Dằng dặc),"Kéo dài bất tận, không dứt",Nghĩa mẹ dài dặc đặc tựa sông,Nghĩa mẹ dài dằng dặc như dòng sông,"Dặc dặc (Dằng dặc) [SEP] Kéo dài bất tận, không dứt [SEP] Nghĩa mẹ dài dặc đặc tựa sông",Nghĩa mẹ dài dằng dặc như dòng sông
Khứa lão,Lão già thằng nhóc thằng choai choai (hàm ý coi thường).,Khứa lão này coi vậy chớ còn mê mồi lắm.,Lão già này trông vậy chứ còn hám gái lắm.,Khứa lão [SEP] Lão già thằng nhóc thằng choai choai (hàm ý coi thường). [SEP] Khứa lão này coi vậy chớ còn mê mồi lắm.,Lão già này trông vậy chứ còn hám gái lắm.
Xào khô,Sàm sỡ phụ nữ,"Chuyện xào khô này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện sàm sỡ phụ nữ này nghe lạ nhưng thật đó, tớ chứng kiến.","Xào khô [SEP] Sàm sỡ phụ nữ [SEP] Chuyện xào khô này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện sàm sỡ phụ nữ này nghe lạ nhưng thật đó, tớ chứng kiến."
Guột,"Buộc, kết, thắt nút dây hoặc bó, cuộn vật lại",Guột dây có bài bản như tao chỉ cần giựt một cái là ra,Thắt nút có kỹ thuật như tớ thì chỉ cần giật một cái là ra ngay,"Guột [SEP] Buộc, kết, thắt nút dây hoặc bó, cuộn vật lại [SEP] Guột dây có bài bản như tao chỉ cần giựt một cái là ra",Thắt nút có kỹ thuật như tớ thì chỉ cần giật một cái là ra ngay
Mượn đầu heo,Mượn đầu heo nấu cháo không có thực lực mà mượn oai danh người khác để làm lợi cho mình.,"Nó làm ăn theo cái kiểu mượn đầu heo, chớ vốn liếng thực nó có bao nhiêu đâu.","Nó làm ăn theo kiểu mượn danh người khác (mượn đầu heo nấu cháo), chứ vốn liếng thực nó có bao nhiêu đâu.","Mượn đầu heo [SEP] Mượn đầu heo nấu cháo không có thực lực mà mượn oai danh người khác để làm lợi cho mình. [SEP] Nó làm ăn theo cái kiểu mượn đầu heo, chớ vốn liếng thực nó có bao nhiêu đâu.","Nó làm ăn theo kiểu mượn danh người khác (mượn đầu heo nấu cháo), chứ vốn liếng thực nó có bao nhiêu đâu."
Chứ lứ,"Căng phồng, no ních, đầy ứ","Cái túi chứ lứ như vậy, còn chỗ đâu mà nhét nữa","Cái túi đã căng phồng lên như vậy rồi, làm gì còn chỗ nào mà nhét thêm nữa","Chứ lứ [SEP] Căng phồng, no ních, đầy ứ [SEP] Cái túi chứ lứ như vậy, còn chỗ đâu mà nhét nữa","Cái túi đã căng phồng lên như vậy rồi, làm gì còn chỗ nào mà nhét thêm nữa"
Trọn lỏn Tròng,Nằm gọn Khoác vào,"Dì Hai giải thích cho tụi nhỏ nghe về trọn lỏn, tụi nhỏ gật gù.","Dì Hai giải thích cho bọn nhỏ nghe về nằm gọn, bọn nhỏ gật gù.","Trọn lỏn Tròng [SEP] Nằm gọn Khoác vào [SEP] Dì Hai giải thích cho tụi nhỏ nghe về trọn lỏn, tụi nhỏ gật gù.","Dì Hai giải thích cho bọn nhỏ nghe về nằm gọn, bọn nhỏ gật gù."
Sạch bách Sạch ráo,"Hết sạch, không còn lại gì","Nó lấy đi sạch bách, tới đôi đũa cũng không để lại.","Nó lấy đi sạch sành sanh, đến đôi đũa cũng không để lại.","Sạch bách Sạch ráo [SEP] Hết sạch, không còn lại gì [SEP] Nó lấy đi sạch bách, tới đôi đũa cũng không để lại.","Nó lấy đi sạch sành sanh, đến đôi đũa cũng không để lại."
Hát,"Hoạt động biểu diễn nghệ thuật (cải lương, chiếu phim, tuồng, dân ca).",đêm sau hát Đêm lạnh chùa hoang,"đêm sau biểu diễn vở ""Đêm lạnh chùa hoang""","Hát [SEP] Hoạt động biểu diễn nghệ thuật (cải lương, chiếu phim, tuồng, dân ca). [SEP] đêm sau hát Đêm lạnh chùa hoang","đêm sau biểu diễn vở ""Đêm lạnh chùa hoang"""
Hỡm,"Phỉnh phờ, lừa gạt.",Mày bị nó hỡm rồi. Làm gì có chuyện đó.,Cậu bị nó lừa phỉnh rồi. Làm gì có chuyện đó.,"Hỡm [SEP] Phỉnh phờ, lừa gạt. [SEP] Mày bị nó hỡm rồi. Làm gì có chuyện đó.",Cậu bị nó lừa phỉnh rồi. Làm gì có chuyện đó.
Chài lài,"Nghiêng triền, khá dốc Nằm dài, không kín đáo",Con gái lớn rồi mà cứ nằm chài lài trước bộ ngựa,Con gái lớn rồi mà cứ nằm dài hớ hênh trên phản gỗ,"Chài lài [SEP] Nghiêng triền, khá dốc Nằm dài, không kín đáo [SEP] Con gái lớn rồi mà cứ nằm chài lài trước bộ ngựa",Con gái lớn rồi mà cứ nằm dài hớ hênh trên phản gỗ
Mĩu (môi),"Bĩu môi, trễ môi chê bai.","có cái tật hay mĩu môi, thấy phát ghét.","có cái tật hay bĩu môi, thấy phát ghét.","Mĩu (môi) [SEP] Bĩu môi, trễ môi chê bai. [SEP] có cái tật hay mĩu môi, thấy phát ghét.","có cái tật hay bĩu môi, thấy phát ghét."
Bông bí,Hoa bí đỏ,"Ăn bông bí luộc, dưa hường nấu canh","Ăn hoa bí luộc, dưa hường nấu canh","Bông bí [SEP] Hoa bí đỏ [SEP] Ăn bông bí luộc, dưa hường nấu canh","Ăn hoa bí luộc, dưa hường nấu canh"
Ốm nhách,"Rất gầy, gầy đét, gầy gò ốm yếu chỉ còn da bọc xương.","Tướng tá ốm nhách, coi vậy chớ mà khoẻ lắm","Vóc dáng gầy đét, trông vậy chứ khỏe lắm","Ốm nhách [SEP] Rất gầy, gầy đét, gầy gò ốm yếu chỉ còn da bọc xương. [SEP] Tướng tá ốm nhách, coi vậy chớ mà khoẻ lắm","Vóc dáng gầy đét, trông vậy chứ khỏe lắm"
Có bồ Có ghệ,"Có người yêu, có người tình lăng nhăng","Thằng này nó có ghệ lung tung, nay đi với con này, mai đi với con kia, em cũng không biết nữa","Cái anh chàng này có nhân tình lăng nhăng khắp nơi, hôm nay đi với cô này, ngày mai đi với cô khác, em cũng chẳng rõ nữa","Có bồ Có ghệ [SEP] Có người yêu, có người tình lăng nhăng [SEP] Thằng này nó có ghệ lung tung, nay đi với con này, mai đi với con kia, em cũng không biết nữa","Cái anh chàng này có nhân tình lăng nhăng khắp nơi, hôm nay đi với cô này, ngày mai đi với cô khác, em cũng chẳng rõ nữa"
Bệt (),"Vệt, vết bẩn để lại",Con ăn cái gì mà áo dính mấy bệt ca-ri to tướng như vậy,Con ăn kiểu gì mà áo dính mấy vệt ca-ri to tướng như vậy,"Bệt () [SEP] Vệt, vết bẩn để lại [SEP] Con ăn cái gì mà áo dính mấy bệt ca-ri to tướng như vậy",Con ăn kiểu gì mà áo dính mấy vệt ca-ri to tướng như vậy
Bạu mặt,Tức giận xị mặt ra,Nó có làm gì mà mỗi lần trông thấy nó mày bạu mặt lên vậy,Nó có làm gì mà mỗi lần trông thấy nó cậu lại xị mặt lên vậy,Bạu mặt [SEP] Tức giận xị mặt ra [SEP] Nó có làm gì mà mỗi lần trông thấy nó mày bạu mặt lên vậy,Nó có làm gì mà mỗi lần trông thấy nó cậu lại xị mặt lên vậy
Gom nhóp,"Gom góp, nhặt nhạnh từng chút một",treo những bó lúa vừa gặt xong gom nhóp lại,treo những bó lúa vừa mới thu gom nhặt nhạnh được,"Gom nhóp [SEP] Gom góp, nhặt nhạnh từng chút một [SEP] treo những bó lúa vừa gặt xong gom nhóp lại",treo những bó lúa vừa mới thu gom nhặt nhạnh được
Láo cháo,"Lộn xộn, ổn ào ngơ ngác, lạ lẫm.",Bọn trẻ con chúng láo cháo ở đằng kia,Bọn trẻ con chúng nhao nhao ở đằng kia,"Láo cháo [SEP] Lộn xộn, ổn ào ngơ ngác, lạ lẫm. [SEP] Bọn trẻ con chúng láo cháo ở đằng kia",Bọn trẻ con chúng nhao nhao ở đằng kia
Om trời,"Ồn ào, cãi vã to.","Vợ chồng nhà đó hở chút xíu là cãi lộn ném đồ đạc om trời, hàng xóm ai cũng lắc đầu.","Vợ chồng nhà đó hơi tí là cãi nhau ném đồ đạc ầm ĩ ỏm tỏi, hàng xóm ai cũng lắc đầu.","Om trời [SEP] Ồn ào, cãi vã to. [SEP] Vợ chồng nhà đó hở chút xíu là cãi lộn ném đồ đạc om trời, hàng xóm ai cũng lắc đầu.","Vợ chồng nhà đó hơi tí là cãi nhau ném đồ đạc ầm ĩ ỏm tỏi, hàng xóm ai cũng lắc đầu."
Sểnh,"Bắn trượt, chệch","Cái kiểu sểnh đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu bắn trượt đó quen lắm rồi, ai ở đây cũng biết.","Sểnh [SEP] Bắn trượt, chệch [SEP] Cái kiểu sểnh đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu bắn trượt đó quen lắm rồi, ai ở đây cũng biết."
Quá trớn,Vượt quá khả năng chịu đựng,"Con Lan giải thích cho tụi nhỏ nghe về quá trớn, tụi nhỏ gật gù.","Con Lan giải thích cho bọn nhỏ nghe về vượt quá khả năng, bọn nhỏ gật gù.","Quá trớn [SEP] Vượt quá khả năng chịu đựng [SEP] Con Lan giải thích cho tụi nhỏ nghe về quá trớn, tụi nhỏ gật gù.","Con Lan giải thích cho bọn nhỏ nghe về vượt quá khả năng, bọn nhỏ gật gù."
Dòm ngó,"Nhìn ngó, soi mói, để ý chằm chằm.","Đừng có dòm ngó chuyện nhà người ta, lo chuyện mình đi.","Đừng có soi mói chuyện nhà người ta, lo chuyện mình đi.","Dòm ngó [SEP] Nhìn ngó, soi mói, để ý chằm chằm. [SEP] Đừng có dòm ngó chuyện nhà người ta, lo chuyện mình đi.","Đừng có soi mói chuyện nhà người ta, lo chuyện mình đi."
Bong (2),Dán giấy vào khung Cuộn tròn,Ai mà bong cái lồng đèn này khéo vậy,Ai mà phết giấy lồng đèn này khéo thế,Bong (2) [SEP] Dán giấy vào khung Cuộn tròn [SEP] Ai mà bong cái lồng đèn này khéo vậy,Ai mà phết giấy lồng đèn này khéo thế
Mưa mứa,"Sơ sài, nửa chừng, lơ mơ chưa thuộc kĩ.",Mới làm mưa mứa là nó đã bỏ đi đâu mất rồi.,Mới làm dở dang là nó đã bỏ đi đâu mất rồi.,"Mưa mứa [SEP] Sơ sài, nửa chừng, lơ mơ chưa thuộc kĩ. [SEP] Mới làm mưa mứa là nó đã bỏ đi đâu mất rồi.",Mới làm dở dang là nó đã bỏ đi đâu mất rồi.
Phách chó,"Kiêu căng quá mức, đáng ghét.","Cái thằng phách chó đó, giàu có hơn ai đâu mà cũng bày đặt chơi trội.","Tên xấc xược đó, có giàu hơn ai đâu mà cũng ra vẻ ta đây.","Phách chó [SEP] Kiêu căng quá mức, đáng ghét. [SEP] Cái thằng phách chó đó, giàu có hơn ai đâu mà cũng bày đặt chơi trội.","Tên xấc xược đó, có giàu hơn ai đâu mà cũng ra vẻ ta đây."
Mét chằn,Tái xanh tái mét (vì bệnh).,Cái da mét chằn,Cái da tái mét,Mét chằn [SEP] Tái xanh tái mét (vì bệnh). [SEP] Cái da mét chằn,Cái da tái mét
Ní non,"Nỉ non, nhẹ nhàng, êm ái, gợi buồn thương.","Chị nghe vợ nó than thở ní non, chị xúc động","Chị nghe vợ nó than thở nỉ non, chị xúc động","Ní non [SEP] Nỉ non, nhẹ nhàng, êm ái, gợi buồn thương. [SEP] Chị nghe vợ nó than thở ní non, chị xúc động","Chị nghe vợ nó than thở nỉ non, chị xúc động"
Lầy sầy,"Sây sát, trầy xước.",Ba cái trái cây lầy sầy cái kiểu này bán khó có ai chịu mua,Mấy cái trái cây trầy xước cái kiểu này bán khó có ai chịu mua,"Lầy sầy [SEP] Sây sát, trầy xước. [SEP] Ba cái trái cây lầy sầy cái kiểu này bán khó có ai chịu mua",Mấy cái trái cây trầy xước cái kiểu này bán khó có ai chịu mua
Giáo sư,Cách gọi chung cho giáo viên dạy trung học (trước 975),phải trình với vị giáo sư Việt văn để xin duyệt,Ngày trước thầy cô dạy cấp 3 được gọi là giáo sư,Giáo sư [SEP] Cách gọi chung cho giáo viên dạy trung học (trước 975) [SEP] phải trình với vị giáo sư Việt văn để xin duyệt,Ngày trước thầy cô dạy cấp 3 được gọi là giáo sư
Luột sạp,Ăn tất cả không chừa thứ gì nói năng không nể ai.,"Mấy con heo này, chúng ăn luột sạp tối ngày vậy đó","Mấy con lợn này, chúng ăn tạp tối ngày vậy đó","Luột sạp [SEP] Ăn tất cả không chừa thứ gì nói năng không nể ai. [SEP] Mấy con heo này, chúng ăn luột sạp tối ngày vậy đó","Mấy con lợn này, chúng ăn tạp tối ngày vậy đó"
Quăng,"Vứt bỏ, ném đi","Thấy mưa là con bạn quăng vô nhà liền, nhanh dữ.","Thấy mưa là bạn nữ vứt bỏ vào nhà ngay, nhanh thật.","Quăng [SEP] Vứt bỏ, ném đi [SEP] Thấy mưa là con bạn quăng vô nhà liền, nhanh dữ.","Thấy mưa là bạn nữ vứt bỏ vào nhà ngay, nhanh thật."
Làm láo (làm lếu),"Làm ẩu, làm qua loa cho xong việc.",Làm cho tao mà mày làm lếu làm láo là không được đâu,Làm cho tao mà mày làm ẩu làm tả là không được đâu,"Làm láo (làm lếu) [SEP] Làm ẩu, làm qua loa cho xong việc. [SEP] Làm cho tao mà mày làm lếu làm láo là không được đâu",Làm cho tao mà mày làm ẩu làm tả là không được đâu
Ngặt đời,"Trái khuấy, ngược",Ngặt đời cái là nhà nghèo rớt mồng tơi mà khoái xài đồ hiệu cơ.,Oái oăm ở chỗ nhà nghèo rớt mồng tơi mà lại thích dùng đồ hiệu cơ.,"Ngặt đời [SEP] Trái khuấy, ngược [SEP] Ngặt đời cái là nhà nghèo rớt mồng tơi mà khoái xài đồ hiệu cơ.",Oái oăm ở chỗ nhà nghèo rớt mồng tơi mà lại thích dùng đồ hiệu cơ.
Đứng khứng khựng,"Đứng sững lại đột ngột, bất thình lình",Có chuyện chi mà cả tốp đứng khựng lại vậy?,Có chuyện gì mà cả nhóm lại dừng sững lại thế kia?,"Đứng khứng khựng [SEP] Đứng sững lại đột ngột, bất thình lình [SEP] Có chuyện chi mà cả tốp đứng khựng lại vậy?",Có chuyện gì mà cả nhóm lại dừng sững lại thế kia?
Đứng chựng,"Chững, trẻ mới tập đứng chưa vững",Thằng nhỏ chưa đầy năm mà đã biết đứng chựng rồi,Thằng bé chưa đầy năm mà đã biết đứng chững rồi,"Đứng chựng [SEP] Chững, trẻ mới tập đứng chưa vững [SEP] Thằng nhỏ chưa đầy năm mà đã biết đứng chựng rồi",Thằng bé chưa đầy năm mà đã biết đứng chững rồi
Nhí nhí,"1. Từng chút một.2. Lí nhí, nói nhỏ trong họng khó nghe rõ.","Nói lớn lên. Nói nhí nhí, ông ngoại lãng tai, ông không có nghe được đâu.",Yêu cầu phát âm to rõ ràng vì người nghe bị nghễnh ngãng.,"Nhí nhí [SEP] 1. Từng chút một.2. Lí nhí, nói nhỏ trong họng khó nghe rõ. [SEP] Nói lớn lên. Nói nhí nhí, ông ngoại lãng tai, ông không có nghe được đâu.",Yêu cầu phát âm to rõ ràng vì người nghe bị nghễnh ngãng.
Mí,"Bìa, mép ngoài cùng chút xíu, sơ sơ (nói mí).",Nói mí vậy là mày phải hiểu rồi,Nói bóng gió vậy là mày phải hiểu rồi,"Mí [SEP] Bìa, mép ngoài cùng chút xíu, sơ sơ (nói mí). [SEP] Nói mí vậy là mày phải hiểu rồi",Nói bóng gió vậy là mày phải hiểu rồi
Nhồi,"1. Nhào trộn bột.2. Dồi, tung lên liên tiếp.3. Bồi, tiếp liền thêm vào chuyện đã xảy ra.","bây giờ lại tới mày nhồi thêm nữa, hỏi nó không buồn sao được.","bây giờ lại đến mày bồi thêm vào nữa, hỏi sao nó không buồn cho được.","Nhồi [SEP] 1. Nhào trộn bột.2. Dồi, tung lên liên tiếp.3. Bồi, tiếp liền thêm vào chuyện đã xảy ra. [SEP] bây giờ lại tới mày nhồi thêm nữa, hỏi nó không buồn sao được.","bây giờ lại đến mày bồi thêm vào nữa, hỏi sao nó không buồn cho được."
Bắt bộ,Ra bộ khi hát Hát đáp lại,Nó hát không hay nhưng được cái bắt bộ khéo,Nó hát không hay nhưng được cái ra bộ múa dẻo,Bắt bộ [SEP] Ra bộ khi hát Hát đáp lại [SEP] Nó hát không hay nhưng được cái bắt bộ khéo,Nó hát không hay nhưng được cái ra bộ múa dẻo
Ba sanh,Ba sinh (một đời người),"Ba sanh còn đợi, huống gì ba năm","Một đời còn đợi, huống gì ba năm","Ba sanh [SEP] Ba sinh (một đời người) [SEP] Ba sanh còn đợi, huống gì ba năm","Một đời còn đợi, huống gì ba năm"
Xây mồng mồng,Quay mòng mòng,Đầu óc tui xây mồng mồng rồi.,Đầu óc tôi xoay mòng mòng rồi.,Xây mồng mồng [SEP] Quay mòng mòng [SEP] Đầu óc tui xây mồng mồng rồi.,Đầu óc tôi xoay mòng mòng rồi.
Tùng,Lưới đáy Mạn sườn bài,"Chuyện tùng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện lưới đáy này nghe lạ nhưng thật đó, tớ chứng kiến.","Tùng [SEP] Lưới đáy Mạn sườn bài [SEP] Chuyện tùng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện lưới đáy này nghe lạ nhưng thật đó, tớ chứng kiến."
Lúa,"1. Thóc, lúa.2. Hỏng bét, thất bại (lúa rồi, lúa đời).3. Quê mùa, cù lần.",Mày giao cái đó cho nó là lúa rồi,Mày giao cái đó cho nó là hỏng bét rồi,"Lúa [SEP] 1. Thóc, lúa.2. Hỏng bét, thất bại (lúa rồi, lúa đời).3. Quê mùa, cù lần. [SEP] Mày giao cái đó cho nó là lúa rồi",Mày giao cái đó cho nó là hỏng bét rồi
Xào xáo,Xích mích nội bộ,"Tao học được cái xào xáo này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái xích mích nội bộ này từ hồi nhỏ, giờ vẫn nhớ.","Xào xáo [SEP] Xích mích nội bộ [SEP] Tao học được cái xào xáo này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái xích mích nội bộ này từ hồi nhỏ, giờ vẫn nhớ."
Chắc gan,"Lì lợm, dũng cảm, gan dạ không biết sợ","Thằng nhỏ này chắc gan thiệt, bị đòn mà nó không khóc","Thằng bé này lầm lì gan dạ thật, bị bố đánh đòn đau thế mà không hề rơi một giọt nước mắt","Chắc gan [SEP] Lì lợm, dũng cảm, gan dạ không biết sợ [SEP] Thằng nhỏ này chắc gan thiệt, bị đòn mà nó không khóc","Thằng bé này lầm lì gan dạ thật, bị bố đánh đòn đau thế mà không hề rơi một giọt nước mắt"
Quạu,"Tức giận, nhăn nhó","Cái kiểu quạu đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu tức giận đó quen lắm rồi, ai ở đây cũng biết.","Quạu [SEP] Tức giận, nhăn nhó [SEP] Cái kiểu quạu đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu tức giận đó quen lắm rồi, ai ở đây cũng biết."
Xá lị,"Tên giống ổi (giòn, xốp)",Ổi xá lị này ngọt và thơm lắm.,Ổi giống xá lị này ngọt và thơm lắm.,"Xá lị [SEP] Tên giống ổi (giòn, xốp) [SEP] Ổi xá lị này ngọt và thơm lắm.",Ổi giống xá lị này ngọt và thơm lắm.
Dạ,"Dạ vâng, lời đáp từ lễ phép",Năm ơi! Dạ! Con lấy cho má cải chổi ở dưới bếp để mà quét sân Dạ!,Cái Năm ơi! Dạ con đây! Con xuống bếp lấy giúp mẹ chiếc chổi lên đây để mẹ quét dọn sân nhà nhé Dạ vâng ạ!,"Dạ [SEP] Dạ vâng, lời đáp từ lễ phép [SEP] Năm ơi! Dạ! Con lấy cho má cải chổi ở dưới bếp để mà quét sân Dạ!",Cái Năm ơi! Dạ con đây! Con xuống bếp lấy giúp mẹ chiếc chổi lên đây để mẹ quét dọn sân nhà nhé Dạ vâng ạ!
Rát máu,"Gay gắt, dữ dội","Chú Ba hay nói tới chuyện rát máu hoài, tao quen tai rồi.","Chú Ba hay nói tới chuyện gay gắt mãi, tớ quen tai rồi.","Rát máu [SEP] Gay gắt, dữ dội [SEP] Chú Ba hay nói tới chuyện rát máu hoài, tao quen tai rồi.","Chú Ba hay nói tới chuyện gay gắt mãi, tớ quen tai rồi."
Cá leo,"Cá nheo (cá nước ngọt không vảy, đầu bẹt, miệng rộng)",Cá không chân sao gọi cá leo?,Con cá không có chân tại sao lại gọi là cá leo?,"Cá leo [SEP] Cá nheo (cá nước ngọt không vảy, đầu bẹt, miệng rộng) [SEP] Cá không chân sao gọi cá leo?",Con cá không có chân tại sao lại gọi là cá leo?
Tí téo tí tẹo,Rất ít (nhấn mạnh),"Cái kiểu tí téo tí tẹo đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu rất ít đó quen lắm rồi, ai ở đây cũng biết.","Tí téo tí tẹo [SEP] Rất ít (nhấn mạnh) [SEP] Cái kiểu tí téo tí tẹo đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu rất ít đó quen lắm rồi, ai ở đây cũng biết."
Lỏm chỏm,Lởm chởm gai góc lội lõm bõm.,Cái đường này lỏm chỏm đi đau chân,Cái đường này lởm chởm đi đau chân,Lỏm chỏm [SEP] Lởm chởm gai góc lội lõm bõm. [SEP] Cái đường này lỏm chỏm đi đau chân,Cái đường này lởm chởm đi đau chân
Úa (ùa),"Tràn vào nhanh, mạnh","Chị Hai hay nói tới chuyện úa hoài, tao quen tai rồi.","Chị Hai hay nói tới chuyện tràn vào nhanh mãi, tớ quen tai rồi.","Úa (ùa) [SEP] Tràn vào nhanh, mạnh [SEP] Chị Hai hay nói tới chuyện úa hoài, tao quen tai rồi.","Chị Hai hay nói tới chuyện tràn vào nhanh mãi, tớ quen tai rồi."
