source_sentence,target_sentence
"Nó thương con Sáu quá trời, mê trết khỏi nói.",Cậu ấy thích cô Sáu đến mức say đắm.
"Cửa hàng ngoài đầu xóm bán đủ thứ, mình toàn mua đồ ở đó.","Cửa hàng ngoài đầu xóm bán đủ thứ, tôi toàn mua đồ ở đó."
Cái kiểu vằn vọc đó là không được đâu nha mấy đứa.,Cái cách đối xử tệ bạc đó là không được đâu nhé các cháu.
"Nói nhụ nhựa, thôi về ngủ đi cha nội.","Nói năng lè nhè rồi, thôi về ngủ đi ông ạ."
"Đờn địch từ sáng tới tối hổng thôi, công chuyện bỏ hết.",Mải mê đàn hát cả ngày nên không còn thời gian làm việc kiếm sống.
Tờ tiền này con tình cờ lượm được trên đường đi học.,Tờ tiền này con tình cờ nhặt được trên đường đi học.
Vợ chồng nó tiêu xài cố xác làm sao mà không mắc nợ cho được,Vợ chồng nó ăn tiêu vung tay quá trán làm sao mà không nợ nần cho được
Để tóc dài kiểu đó coi bộ lôi thôi dữ thần.,Kiểu tóc dài đó làm người này trông khá nhếch nhác.
Nghe cái giọng thằng chả thốt ra câu nào cũng nghe chướng tai.,Nghe cái giọng gã đó thốt ra câu nào cũng nghe chướng tai.
Đường dây vũ khí do ổng chỉ huy.,Đường dây vũ khí do ông ấy chỉ huy.
Chuyện vịt xiêm thím kể riết.,Chuyện vịt xiêm thím kể mãi.
Lấy mấy cái băn ca đưa mấy người bị thương lên,Lấy mấy cái cáng cứu thương đưa mấy người bị thương lên
"Có người ta qua chơi, mặc xà lỏn vậy hổng được đâu.","Khi có khách, ăn mặc như vậy trông thiếu lịch sự."
"Cứ ngỡ chữ nét căng, dè đâu thấy mờ tịt luôn.",Tưởng chữ sắc nét nhưng thật ra lại không rõ.
"Cái cũi chén bể nát rồi, giờ chỉ có mình tui lòi ra tiền bạc mua cái mới nghe hôn bồ.","Cái chạn vỡ nát rồi, giờ chỉ có mình tôi phải xì tiền ra mua cái mới nghe chưa bạn."
"Tánh ổng ham gái dữ lắm, thấy ai cũng lân la.",Ông ấy rất thích phụ nữ và thường tìm cách bắt chuyện.
Sao mấy bữa nay tụi nó cứ vất vưởng thấy mồ vậy ta?,Không hiểu vì sao thời gian gần đây họ cứ sống lay lắt như vậy.
Vụ đó coi bộ tiêu tùng ráo trọi rồi nghen.,Chuyện đó có thể xem là hỏng hoàn toàn.
"Bán tôi hai chục tờ giấy bao, đi cô",Con đi mua giấy bọc vở về để chuẩn bị cho năm học mới
Ông chọn mày cũng để làm mồi vậy thôi,Ông ấy chọn mày cũng để làm con tốt thí vậy thôi
"Anh chàng bị đá ngay ngực nghẹt thở, nằm bất tỉnh luôn.","Anh chàng ta bị một cú đá ngay ngực nghẹt thở, khiến anh ta nằm bất tỉnh nhân sự."
Trồng cây thu đủ trước nhà.,Trồng cây đu đủ trước nhà.
Nhiều hộ giàu lên là nhờ bè cá đó,Nhiều hộ giàu lên là nhờ lồng cá đấy
"Tháng Tư nắng đổ lửa, chiều về nóng ran người.","Tháng Tư nắng nóng, chiều về oi bức lắm."
Chiến tranh loạn lạc quá nên gia đình dễ bị thất tán.,Thời chiến khiến nhiều gia đình bị ly tán và thất lạc nhau.
Mẹ mắng thằng út hoài vì tội lười chà răng rửa mặt.,Mẹ mắng thằng út suốt vì tội lười đánh răng rửa mặt.
"ổng bỏ đống lúa chề ề đó mà đi nhậu, Công việc chề ề như vậy, tôi đâu có đi được","ông ấy bỏ đống lúa chình ình ra đó mà đi nhậu, Công việc bề bộn ngập đầu thế này, tôi đâu đi được"
"Mèn đét ơi, con heo quay nhìn vàng chái trông đã thiệt chớ, thèm chảy nước miếng hết trơn.","Trời đất ơi, con lợn quay nhìn vàng ruộm trông thích thật chứ, thèm chảy nước miếng hết cả."
Cá có chân đâu mà người ta kêu cá leo ta?,"Cá đâu có chân, sao lại được gọi là cá leo?"
Ba má về rầy chết đó.,Bố mẹ về mắng chết đấy.
"Cái kiểu sờm sỡm đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu gồ ghề đó quen lắm rồi, ai ở đây cũng biết."
"Nước trà đặc vầy tui uống hổng quen, đắng ghê.","Nước chè đặc thế này tôi uống không quen, đắng ghê."
"Mấy con chó cò lười biếng lắm, nên người ta cũng không thích nuôi","Mấy con chó lông trắng thường hay lười biếng, nên người ta ít khi thích nuôi chúng"
nó làm đùa chớ có nên thân nên hình gì đâu,nó làm ẩu đoảng chứ chẳng ra làm sao cả
Bả mà đì là đì cho sói trán.,Bà ấy mà hành hạ là hành cho khốn khổ.
Nó chạy xe máy bám sát đeo theo tui suốt dọc đường.,Nó chạy xe máy bám đuổi theo tôi sát sạt suốt dọc đường.
"Tao nói bóng gió dữ vậy rồi, mầy hiểu được rồi đa.","Tôi đã nói khéo như thế rồi, chắc bạn đã hiểu."
Đừng có nghe mấy đứa nói tích toác.,Đừng nghe mấy đứa nói vô tư/vô lo.
Trương Vĩnh Ký là một danh nhơn nổi tiếng,Trương Vĩnh Ký là một danh nhân nổi tiếng
Ảnh chạy vòng vòng qua mấy cái bùng binh hoài luôn.,Anh ấy liên tục chạy qua nhiều vòng xuyến.
Đùm chôm chôm này coi vậy chớ cũng cả kí lận đó,Chùm chôm chôm này trông thế mà nặng cả cân đấy
Giá vé mấy chục ngàn lận hả?,Giá vé mấy chục nghìn cơ à?
Rọt hồi ai đi với nó?,Cuối cùng thì ai đi với nó?
"Bà Tư giải thích cho tụi nhỏ nghe về quáu, tụi nhỏ gật gù.","Bà Tư giải thích cho bọn nhỏ nghe về cong, bọn nhỏ gật gù."
"Đồ nhà em chỉ thuộc hạng xoàng thôi, có gì đâu mà khoe.","Đồ nhà em chỉ thuộc hàng trung bình thôi, có gì đâu mà phải khoe."
"Chú Sáu bị đau chân nên đi xà lết ngoài sân, nhìn tội lắm.","Chú Sáu bị đau chân nên đi lê lết ngoài sân, trông thương thật."
Thua lỗ một trận là trắng tay ráo trọi.,"Sau lần thua lỗ đó, mọi tiền bạc đều mất sạch."
"Ăn nguyên cú đạp vô bụng, đứng sao nổi chớ.","Sau cú đá vào bụng, cậu ấy khó có thể đứng vững."
"Bỏ đi Tám, nhắc lại vầy chỉ thêm buồn thôi.","Bỏ qua đi, nhắc lại thế này chỉ thêm buồn thôi."
Việc quan trọng chất đống mà ổng còn phải gánh vác nữa.,Anh ấy đang có rất nhiều nhiệm vụ quan trọng phải giải quyết.
"Ông lấy mấy cái thau nhôm chế thành mấy cái chụp đèn, Thằng đó nó hay chế lắm","Ông ấy lấy mấy cái chậu nhôm chế thành mấy cái chao đèn, Thằng đó nó hay bịa chuyện lắm"
Lại công xi heo mua bộ đồ lòng về nấu cháo ăn đi,Ra lò mổ lợn mua bộ lòng về nấu cháo ăn đi
"Thằng Út có tật cà lăm, nói chuyện một hồi mệt xác ghê.","Thằng Út có tật nói lắp, trò chuyện một hồi mệt người ghê."
"Người dưới quê làm kiểu đó nhiều lắm nghen, trên này hổng mấy ai làm.",Cách làm đó phổ biến ở quê hơn là ở đây.
Nhịn ăn nguyên buổi nên bụng lép kẹp hết trơn.,Do chưa ăn gì nên bụng xẹp lép vì đói.
"Ghe chạy hết ga rồi, hổng nhanh hơn được.","Thuyền chạy hết ga rồi, không nhanh hơn được."
Ổng có tài bắt mà dưới mấy cái ngách mương hay thiệt sự.,Ông ấy có tài dò bắt cá dưới mấy cái ngách mương hay thật sự.
"người ta quặn quyu hết mấy trái xoài, không chừa lại cái gì.","người ta xoăn cuốn vào nhau hết mấy quả xoài, không chừa lại cái gì."
"Nhìn anh Ba uể oải quá trời, có sao hông?","Anh Ba có vẻ rất uể oải, có chuyện gì không?"
Sao hổng đứa nào bật đèn lên hết vầy?,sao không đứa nào bật đèn lên.
"Nước dưới sông có sôi tiêm lên, chắc cá lóc trốn dưới đó nhiều lắm.","Nước dưới sông có sủi tăm lên, chắc cá quả trốn dưới đó nhiều lắm."
Lấy giùm ba cái bàn ủi để ủi đồ nghen con.,Con lấy giúp bố bàn là để là quần áo nhé.
Ba cái phim mì ăn liền xem thấy phát chán,Mấy cái phim mì ăn liền xem thấy phát chán
Bơi ra xa coi chừng ma da rủ giò,Bơi ra xa coi chừng ma nước kéo chân
"Một viên nổ, còn hai ba viên tịt ngòi.",một viên nổ thì tới hai ba viên tịt ngòi.
Đúng là ông giám đốc trẻ mà điềm đạm ghê.,Đúng là ông giám đốc trẻ mà điềm đạm thật.
"Đi mua cái chổi mới đi, cái cũ cùn mằn này quét chán lắm.","Đi mua cái chổi mới đi, cái cũ rùn cụt tũn này quét tước chán lắm."
"Lấy áo ngắn tay cho ba mặc, ba đi qua mấy nhà kế bên chút.",Đưa bố chiếc áo cộc tay để bố sang khu hàng xóm một lát.
Chạy được ngàn cây rồi thì phải thay nhớt thôi nghen.,Khi xe đi được khoảng một nghìn ki-lô-mét tôi sẽ thay dầu.
"Đang ở chỗ đông người, ngồi kiểu banh hai chân dòm vô duyên hết sức, tém lại đi.","Đang ở chỗ đông người, ngồi kiểu banh xoạc cả hai chân ra nhìn vô duyên hết sức, ngồi kín đáo lại đi."
Con chui ở đâu mà mình mẩy dính luôm sọc bẩn hết trơn vầy nè.,Con chui ở đâu mà người ngợm dính đầy vết bẩn thế này.
Em nó đang bày nhà chòi chơi với đám nhỏ đó.,Em ấy đang chơi trò đồ hàng cùng các bạn nhỏ.
"Ba tui bỏ vốn vô đó nhiều, mà rốt cuộc hổng có lời nào hết.","Bố tôi bỏ vào đó rất nhiều tiền, nhưng kết cục ông ấy có được đồng lãi nào đâu."
"Cái bình này cầm điện kém quá, sạc xong xài chút là hết.","Bình ắc quy này giữ điện kém, nhanh bị hết điện."
Có mấy đồng tiền cắc lấy làm gì.,Có mấy đồng tiền lẻ lấy làm gì.
"Chị Hai hay nói tới chuyện úa hoài, tao quen tai rồi.","Chị Hai hay nói tới chuyện tràn vào nhanh mãi, tớ quen tai rồi."
Nhà rồng là do tích trên nóc nhà hãng tàu,Bến Nhà Rồng là do trên nóc nhà
"Tụi bây thấy xóc hông chưa, tui thấy nó đau từ nãy giờ rồi đó.","Các bạn thấy đau sườn hoặc châm chọc không, tôi thấy nó đau từ nãy giờ rồi đấy."
Đu đủ mỏ vịt hái xuống gọt ăn là ngon bá cháy luôn.,Đu đủ chín ương hái xuống gọt ăn là rất ngon.
"Leo lên cây cau cao chót vót, đứng trên nóc nhà cheo leo.","leo lên cây cau cao chót vót như thế, Đứng trên nóc nhà cao cheo leo."
"Đừng có đứng làng ràng ngoài lộ rồi cấy ráo trọi mọi người nghe hôn khứa nhỏ, bị người ta mắng á.","Đừng có đứng lởn vởn ngoài đường rồi cốc đầu toàn bộ mọi người nghe chưa cậu bé, bị người ta mắng đấy."
"Tánh thằng đó hay chơi của cha, ưa chỉ tay năm ngón.","Tính thằng đó hay lên mặt trịch thượng, thích chỉ tay năm ngón."
"Khứa đó tông vào tôi một cái đau bén chết, muốn té mương luôn vậy á.","Anh đó đâm vào tôi một cú đau suýt chết, muốn ngã xuống mương luôn vậy đấy."
"Trời mưa đường xá ngập sình, đi đứng mệt mỏi quá.","Trời mưa đường xá ngập bùn, đi lại mệt mỏi quá."
"Cái kiểu lăng xăng đó có gì lạ đâu, ai cũng biết mà.",Phong cách vội vã đó không còn xa lạ với mọi người.
Hết tiền rồi thì chỉ có nước chịu chết thôi.,Hết tiền rồi thì chỉ còn cách bó tay chịu chết thôi.
Tui vẫn thích chiếu lác hơn chiếu ni lông.,Tôi vẫn thấy chiếu cói dễ chịu hơn chiếu nhựa.
Nó ăn của hối lộ lòi bản họng rồi,Nó ăn hối lộ đầy tề rồi
Cho tui một đĩa bò lúc lắc với hai chai bia lạnh nghe ông chủ.,Cho tôi đĩa bò lúc lắc với hai chai bia lạnh nghe ông chủ.
"Cái khúc sông này như có huông, năm nào cũng có tai nạn.","Khúc sông này như bị dớp, năm nào cũng có tai nạn."
"Nhanh lên nhen bà con, sắp hết rồi.","Nhanh lên nhé bà con, sắp hết rồi."
"Người ta dân Cửu Long thứ thiệt, chớ hổng phải dân lang bạt.",Anh ấy là người miền Tây chính gốc chứ không phải người phiêu bạt từ nơi khác.
Hình như thằng nhỏ nó bị mắc xương nên cứ cà khọt cà khẹc hoài tội nghiệp quá mậy.,Có vẻ đứa bé bị mắc xương nên cứ khạc nhổ liên tục mãi tội nghiệp quá bạn.
"Nó chỉ lẩn quẩn trong xóm này hà mậy, thỉnh thoảng bẹo mặt mày một cái vậy mà.","Nó chỉ lẩn quẩn trong xóm này thôi bạn, thỉnh thoảng ló mặt ra trêu ngươi một cái vậy mà."
Ổng khoái uống trà ghê.,Ông ấy thích uống trà ghê.
Vụ hùn vốn đó coi bộ thất bại nên rã đám hết trơn.,Do việc góp vốn không mang lại kết quả nên nhóm đã tan rã.
Nước chảy xuôi con cá buôi nó lội ngược,Nước chảy xuôi mà con cá buôi lại bơi ngược dòng
"Xà bông sả vầy thơm ghê, rửa chén sạch lắm con ơi.","Xà phòng sả thế này thơm ghê, rửa bát sạch lắm con ơi."
"Đừng coi thường nó, tuy là lính lác chớ nó biết nhiều thứ lắm.","Đừng coi thường nó, tuy là lính trơn chứ nó biết nhiều thứ lắm."
Cứ u mê vầy là hại người lắm đó nha.,Cứ mê muội thế này là hại người lắm đó nhé.
"Đang khò khò mà nó hét cái rụp, con lại coi em liền đi.","Em đang ngủ yên thì đột nhiên kêu lớn, con đến xem ngay nhé."
"Thân già chén ngoèn, không con không cháu thiệt là tội nghiệp","Thân già cô độc, không con không cháu thật là tội nghiệp"
Cá úc mà đâm là đau dữ lắm đó nhen con.,Cá ngạnh/cá úc mà đâm là đau lắm.
"Mua chi mấy chục thước vải ú dữ vậy cha nội, định may đồ bán chụp giựt ngoài lộ hả nghe hôn?","Mua chi mấy chục mét vải dày nhiều thế ông anh, định may quần áo bán tranh giành ngoài đường hả nghe chưa?"
Mới nói có mấy câu mà vặc nhau dữ thần.,Chỉ mới trao đổi vài câu mà đã tranh cãi gay gắt.
"Dù đui mà khỏi danh nhơ, Còn hơn có mắt ăn dơ tanh rình","Dù đui mà khỏi danh nhơ, Còn hơn có mắt ăn của phi nghĩa tanh rình"
"Nó đâu có rành về chuyện này, chỉ ba điều bốn chuyện cho vui","Nó đâu có thạo chuyện này, chỉ nói vài ba câu cho vui"
"Nói năng bỗng chễnh bồng chãng như mày, thiên hạ phê cho một trận","Nói năng hời hợt ngông nghênh như cậu, thiên hạ chửi cho một trận"
"Lấy cho má cái lược dày, má chải chí cho chị coi con.","Lấy cho mẹ cái lược bí, mẹ chải chấy cho chị xem nào con."
"Tao chỉ cầu trời cho thằng nhỏ được liền lặn ráo trọi mọi đường, đừng có bịnh hoạn gì nghe.","Tôi chỉ cầu trời cho đứa bé được lành lặn toàn bộ mọi đường, đừng có ốm đau gì nghe."
Trường hợp con bà coi như hết đường binh rồi,Trường hợp con bà coi như hết cách chạy chọt dàn xếp rồi
Làm bậy riết rồi cũng bị xộ khám chớ đâu tránh khỏi.,Làm sai mãi thì cuối cùng cũng không tránh khỏi việc vào tù.
Có phải chuyện của mày đâu mà mày chéo léo như vậy,Có phải chuyện của mày đâu mà mày leo lẻo cái mồm như thế
"Gom góp cả chục năm mới đập cái nhà lá, lên đời căn nhà tường đẹp ghê.","Gom góp cả chục năm mới đập căn nhà lá, xây căn nhà gạch kiên cố khang trang."
Con heo đi bị dạc móng bây giờ nằm một chỗ,Con lợn đi bị tuột móng giờ nằm một chỗ
Nó ăn của hối lộ lòi bản họng rồi,Nó ăn hối lộ đẫy tễ rồi
Nồi canh hủ qua dồn thịt chiều nay bả nấu bùi bùi ngon ghê.,Nồi canh mướp đắng nhồi thịt chiều nay bà ấy nấu bùi bùi ngon thật.
"Ra sòng thử coi, thế nào cũng thấy bả ngồi đó.","Anh cứ đến sòng bài, chắc chắn sẽ thấy bà ấy ở đó."
Bảo nó đi mà nó còn ngục ngoặc chưa chịu đó.,Bảo nó đi mà nó còn vùng vằng chưa chịu đi đấy.
Hàng rào tỉa đều đặn coi sáng sủa hẳn ra.,Hàng rào được chăm sóc cẩn thận tạo cảm giác đẹp mắt.
"đứng đó làm cản mũi kì đà, khiến người ta cũng không làm được gì","Đứng đó làm kỳ đà cản mũi, làm người ta không làm việc được"
Mọi việc cứ suôn đuột như ý muốn.,Mọi việc cứ suôn sẻ như ý muốn.
Ngày nhỏ tôi thích ăn kem cây hơn kem cục múc để trong chén.,Hồi nhỏ tôi thích ăn kem que hơn là kem viên múc ra bát.
"Hỏi mà bả cứ im lặng, chắc mắc cỡ quá rồi.","Hỏi mà bà ấy cứ im lặng, chắc xấu hổ quá rồi."
"Lợi dụng Tết nhất, bọn con buôn hay cất giá ẩu tả dữ thần mậy, coi chừng bị chặt đẹp á.","Lợi dụng dịp Tết, bọn con buôn hay đẩy giá lên cao bừa bãi kinh khủng bạn, coi chừng bị chém giá đấy."
"Nó hèn lắm, chỉ dám ké sái chứ hổng dám làm chủ.","Nó hèn lắm, chỉ dám hưởng ké chứ không dám làm chủ."
"Cái kiểu riết đó quen lắm rồi, ai ở đây cũng biết hết trơn.","Cái kiểu mãi miết đó quen lắm rồi, ai ở đây cũng biết hết."
"Xe này dàn đồng còn bén lắm, chạy êm ru.","Xe này bộ khung còn chắc chắn lắm, chạy rất tốt."
Con nhỏ có cái tật chèo lẻo nên ai cũng ghét,Con bé có tật hay mách lẻo nên ai cũng ghét
"Hổm rày tụi bây cứ tưng tửng hoài, có chuyện gì hôn?","Dạo gần đây các bạn cứ khác thường mãi, có chuyện gì vậy?"
"Hợp đồng này chắc cú lắm, giờ chỉ đợi tới lúc chốt thôi.","Khả năng ký được hợp đồng này rất cao, chỉ còn chờ thời điểm hoàn tất."
thằng nhỏ nhà chị nó giống ai mà cà tong vậy cà,Đứa bé nhà chị giống ai mà người cao lêu khêu thế nhỉ
"Cái kiểu vùng đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu quẫy đạp đó quen lắm rồi, ai ở đây cũng biết."
"Thoa son, đánh phấn, sơn môi, kẻ mắt như để bẹo dạng với ai đó","Thoa son, đánh phấn, sơn môi, kẻ mắt như để khoe mẽ với ai đó"
Nhìn thấy cái mũi chằm quặm của bả mà phát sợ,Mới nhìn thấy cái mũi diều hâu cong khoằm của bà ấy mà đã phát ớn sợ hãi rồi
"Mùa này trái cây ê hề luôn, ăn hay bán gì cũng nhiều hết trơn.","Mùa này trái cây nhiều vô kể, ăn hay bán gì cũng nhiều hết."
"Cười muốn xỉu luôn, hổng ai nén nổi hết trơn.",Mọi người đều bật cười vì tình huống quá buồn cười.
Thức dậy mà mặt mày quàu quạu hà.,Ngủ dậy mà mặt mũi càu cạu thế.
"Theo nó làm ăn mấy năm bể bạc, tui phải quay về xứ đây","Theo nó làm ăn mấy năm thất bại, tôi phải quay về quê đây"
Thằng chả đội nón kết ngược nhìn phát ghét quá trời.,Cậu ta đội mũ lưỡi trai ngược trông rất khó ưa.
Cho tui quá giang một đoạn ra đầu lộ đi.,Cho tôi đi nhờ một đoạn ra đầu đường đi.
"Phải mổ ké con gà vầy mới đá được, chứ đau vầy sao mà nó đá.","Phải mổ lấy nốt chai con gà thế này mới đá được, chứ đau thế này sao mà nó đá."
Con chạy ra lộ kiếm chiếc xích lô kêu cậu đi.,Con ra đường tìm và gọi một chiếc xích lô cho cậu.
"Giặc vô tới cửa rồi, có vụng cũng phải cầm dao mà giữ nhà.",Khi kẻ thù đến nơi thì ai cũng phải tham gia chống lại.
Chưa ra cái giống gì mà cứ làm bộ hơn người thấy mồ.,Chưa có năng lực nhưng lại luôn tỏ ra vượt trội hơn người khác.
Con lân với kỳ lân người ta hay gọi chung vậy đó.,Nhiều người thường dùng tên lân và kỳ lân để chỉ cùng một linh vật.
"Viên chức chạy giấy (planton, lon ton) đến từng lớp",Viên chức văn thư chạy giấy đến từng lớp
Cua có trăng thịt có bao nhiêu đâu mà mua,Cua bắt vào những ngày sáng trăng bị óp chẳng có mấy thịt đâu mà mua làm gì
Mắc cỡ gì mà hổng chịu lên hát.,Xấu hổ gì mà không chịu lên hát.
"Một tay vén cái củn để khỏi vướng có gai, đi đứng phải cẩn thận nghe.","Một tay vén gấu váy lên để không bị vướng gai, đi đứng phải cẩn thận nhé."
Nhà đó mới cất cái nhà to bự.,Nhà đó mới xây cái nhà to bự.
Vùng U Minh trước đây còn nghe tiếng cà um,Vùng U Minh ngày trước vẫn còn nghe tiếng hổ gầm
Tới chơi mới có mấy nã đâu mà đòi về sớm dữ vậy.,Đến chơi được bao lâu đâu mà lại đòi về rồi.
Bị cúm cái là tay chân đuối như cọng bún luôn.,"Từ khi bị cúm, chân tay tôi yếu hẳn đi."
"Bộ truyện chưởng này tôi coi mất cũng phải cả tuần mới xong, Người coi lái phà ngồi trên mui cao",Bộ truyện kiếm hiệp này tôi đọc phải cả tuần mới xong / Người điều khiển phà ngồi trên mui cao
Con đi đâu về mà quần áo bùn đất bét chẹt như thế này?,Con đi đâu về mà quần áo bùn đất be bét thế này?
Nó thề bán mạng là nó hổng có lấy tiền.,Nó thề thốt dữ dội là nó không lấy tiền.
Làm thêm một tăng nữa rồi nghỉ.,Làm thêm một chập nữa rồi nghỉ.
Mày đừng có nghe nó Nó cháu bác Ba Phi đó,Cậu đừng có nghe nó Nó là kẻ chuyên nói phét đấy
"Dì Hai cắt nghĩa vụ đó gọn hơ cho tụi nhỏ nghe, đứa nào cũng gật đầu.","Dì Hai giải thích ngắn gọn cho bọn trẻ nghe, ai cũng tỏ vẻ hiểu."
Tụi bây thấy sái không? Tao thấy từ hồi nãy rồi.,Các bạn thấy sai trái không? Tớ thấy từ nãy rồi.
"Ra ngoài cho mát một lát đi, ở trong này nhột nhạt quá.","Ra ngoài cho mát một lát đi, ở trong này ngột ngạt quá."
Chè chuối này phải có bột báng nữa ăn mới ngon,Chè chuối này phải có hạt trân châu nhỏ nữa ăn mới ngon
"Đặng lập thế báo cừu cho mẹ tôi, vì ngày trước mẹ tôi chết oan lắm","Để lập mưu báo thù cho mẹ tôi, vì ngày trước mẹ tôi chết oan lắm"
"Cái xe này mới ra lò, nhìn sang trọng ghê nơi.","Chiếc xe này mới tinh, trông sang trọng thật."
"Đứt bóng rồi, chỉ còn biết ôn tập để chờ kì thi sau thôi","Hết hy vọng rồi, chỉ còn cách ôn tập chờ kỳ thi sau"
Mày ăn cân kí được bao nhiêu trong vụ mua bán nhà đất này?,Cậu hưởng tiền hoa hồng trung gian được bao nhiêu trong vụ mua bán nhà đất này?
"Mấy đứa nhỏ lấm lem bùn đất ngoài sân, kêu hoài hổng vô.",Bọn trẻ lấm đầy bùn ngoài sân mà không chịu vào nhà.
"Bông trang trước cửa, ai sửa bông trang vàng","Hoa mẫu đơn trước cửa, ai sửa hoa mẫu đơn vàng"
"Tướng tá ốm nhách, coi vậy chớ mà khoẻ lắm","Vóc dáng gầy đét, trông vậy chứ khỏe lắm"
nhủi vô đó làm chi cho bị bắt.,lao đầu vào đó làm gì để bị bắt.
"Ngựa đã bắc kế xong, xin mời cậu","Ngựa đã đóng thắng xong, xin mời cậu"
Mần ăn với mày cứ ba hồi vầy ba hồi khác khiến ai cũng chạy re,Làm ăn với cậu cứ thay đổi xoành xoạch khiến ai cũng chạy mất dép
"Ai dạy mày trò chọt léc em ráo trọi hết trơn vầy, coi chừng má rầy chết trơn đó nghe.","Ai dạy cậu trò cù léc làm em buồn cười toàn bộ hết cả thế này, coi chừng mẹ mắng chết hết cả đó nghe."
Đi đâu mà coi bộ thong dong dữ vậy ông nội?,Anh đi đâu mà trông ung dung và thoải mái thế?
Mấy con cá choai này sao mà cứ nhảy cẫng lên hoài à.,Mấy con cá nhỏ này sao lại cứ nhảy cẫng lên liên tục thế kia.
"Ông Sáu hay nói tới chuyện tiệm tạp hoá hoài, tao quen tai rồi.","Ông Sáu hay nói tới chuyện tiệm nhỏ bán đồ lặt vặt mãi, tớ quen tai rồi."
"Tui chỉ nhắc mấy ý chính thôi, anh nhớ cho kỹ nghen.",Tôi chỉ nhắc những điểm quan trọng để anh ghi nhớ.
"Mèn đét ơi, tiếng nhạc trổi lên xôm ghê, thôi rủ nhau đi nhậu nhẹt chung cho vui vẻ hết trơn ráo trọi.","Trời đất ơi, tiếng nhạc vang lên vui quá, thôi rủ nhau đi ăn nhậu chung cho vui vẻ hết cả toàn bộ."
"Dùng hai ba cây đòn mứng lên là di chuyển được thôi, có khó gì đâu ông.","Dùng hai ba đòn bẩy bẩy lên là di chuyển được thôi, có khó gì đâu anh."
"Cứ để nó cà ngoi cà ngoi vầy là hổng xong đâu, kéo nó vô lẹ.","Cứ để nó cứ ngoi lên ngụp xuống thế này là không xong đâu, kéo nó vào nhanh."
Mần vậy coi cho vui chớ hổng tới đâu hết trơn.,"Cách làm đó chỉ mang tính đối phó, không đem lại hiệu quả."
"Chuyện u nần này nghe lạ nhưng thiệt đó, tui tận mắt chứng kiến vầy luôn nè ông.","Chuyện sần sùi này nghe lạ nhưng thật đó, tôi tận mắt chứng kiến luôn thế này này anh."
Thợ máy đang cần mấy con bù lon tám để gắn vô khung xe.,Thợ máy đang cần mấy con bu-lông cỡ 8 để gắn vào khung xe.
"Lâm vô cảnh tàn đời rồi lại nghèo mắc cái eo ráo trọi mọi đường, nhìn trớt quớt hết sức nghe hôn.","Lâm vào cảnh thất bại thảm hại rồi lại nghèo lại gặp cái eo toàn bộ mọi đường, nhìn chán ngắt hết sức nghe chưa."
Chỉ cần vài con giấm tao gài giấm vài bữa là có ăn,Chỉ cần vài con giấm mồi tớ nuôi vài ngày là có giấm ăn ngay
"Cứ lè nhè suốt, bước đi loạng choạng hoài vậy.",Lúc nào cũng trong tình trạng say nên bước đi chao đảo.
Cho miệng nó méo xẹo vậy chứ.,Làm miệng nó mều xệch vậy chứ.
"Uống thứ nầy vô làm kinh thiệt, bỏ đi ông ơi.","Uống thứ này vào co giật thật đấy, bỏ đi anh ơi."
Cầm miếng giấy dăn vầy sao người ta chịu nhận hồ sơ.,Cầm miếng giấy nhăn nheo thế này sao người ta chịu nhận hồ sơ.
"Nói chuyện nhỏ nhỏ thôi mậy, rồn rảng hoài người ta rầy chết trơn bây giờ.","Nói chuyện nhỏ nhỏ thôi bạn, oang oang mãi người ta trách mắng hết cả bây giờ."
"Bà con nói chuyện nghiêm chỉnh, nó nhảy vô nói trớt quớt hà.","Mọi người đang nói chuyện nghiêm túc, nó lại chen vào nói tào lao."
Mới dọn ra chưa kịp mời ai là nó đã liểm hết.,Mới dọn ra chưa kịp mời ai là nó đã tọng hết.
Điện thoại rớt xuống nước kiểu đó chắc tiêu rồi.,Điện thoại rơi xuống nước kiểu đó chắc hỏng rồi.
"Sinh nhật tui vầy, các bạn nhớ tới nha, tui mừng thiệt sự.","Sinh nhật tôi thế này, các bạn nhớ tới nhé, tôi mừng thật sự."
"Con Lan giải thích cho tụi nhỏ nghe về sát nài, tụi nhỏ gật gù.","Con Lan giải thích cho bọn nhỏ nghe về khốc liệt, bọn nhỏ gật gù."
Lần này ông Phát trốn vào đồn điền ở Vĩnh Châu.,Lần này ông Phát trốn vào đồn điền ở Vĩnh Châu.
Nhà đang lâm cảnh túng bấn quá.,Gia đình đang lâm cảnh nghèo túng quá.
"Bữa đầu hẹn hò ai mà hổng tấm te tấm tét, bình thường mà.","Buổi đầu hẹn hò ai mà chẳng ngượng ngùng e thẹn, bình thường mà."
"Con thắt nút chết thế này má mở sao được, lấy dao cắt đi.","Con thắt nút chết thế này mẹ mở sao được, chỉ có nước lấy dao cắt đi thôi."
"Nó cứ rặt nòi từ sáng tới chiều, coi bộ có chuyện rồi.","Anh ta liên tục giữ một trạng thái như vậy, có vẻ đang có vấn đề."
